Apara de tecido,24;
Aparador de cerca viva elétrico,8;
Aparador de cerca viva movido a combustível fóssil,8;
Aparador de grama, exceto instrumentos manuais de propulsão muscular,7;
Aparador de grama manual [propulsão muscular],8;
Aparelho automático de entretenimento acionado por cartão,28;
Aparelho centrífugo de arremesso [bélico],13;
Aparelho concentrador de minério [máquina],7;
Aparelho de aviso de perda de velocidade,9;
Aparelho de calibração para sensor de pressão arterial,9;
Aparelho de calibração para sensores de pressão,9;
Aparelho de CD para veículo,9;
Aparelho de germinação [aparelho de laboratório],9;
Aparelho de gravação de vídeo,9;
Aparelho de gravação e de reprodução de videocassete,9;
Aparelho de medição de temperatura,9;
Aparelho de medição ocular,10;
Aparelho de som para automóvel,9;
Aparelho de tração para uso medicinal,10;
Aparelho de videocassete,9;
Aparelho desmagnetizador de fita,9;
"Aparelho desodorizador de ambiente [aspersor], elétrico ou eletrônico, de usodoméstico,11";
"Aparelho e unidade de controle eletrônico para processamento, avaliação emedição de sinal gerado por sensor,9";
Aparelho elétrico de iluminação,11;
Aparelho elétrico de uso agrícola para pulverização de produto químico [máquina],7;
Aparelho emissor de raios laser para fins estéticos,10;
Aparelho fumívoro de uso industrial,7;
Aparelho geodésico,9;
Aparelho laboratorial para espectroscopia a laser,9;
Aparelho manual [de propulsão muscular] sugador de solda não elétrico,8;
Aparelho médico de medição da pressão ocular [tonômetro],10;
Aparelho médico de medição ocular,10;
Aparelho médico emissor de raios laser,10;
Aparelho misturador de manteiga de uso industrial ou comercial,7;
Aparelho nuclear para o reprocessamento do combustível sólido irradiado,11;
Aparelho ou dispositivo para matar ou repelir inseto, exceto ferramenta manual,21;
Aparelho ou instrumento de ensino,9;
Aparelho ou instrumento para vacinação,10;
Aparelho para checagem da vela de ignição,9;
Aparelho para controle de estacionamento,9;
Aparelho para curvar cílio,8;
Aparelho para ensaio de arma [bélico],13;
Aparelho para esterilização ou conservação do leite de uso industrial e comercial,7;
Aparelho para fazer gelo de uso doméstico,11;
Aparelho para hibridação,7;
Aparelho para lavar ou enxugar pessoa [acionado por moeda, ficha, cartão],9;
Aparelho para leitura de microfilme,9;
Aparelho para limpar ou polir bota ou sapato [acionado por moeda, ficha, cartão],9;
Aparelho para limpeza de arma de fogo,13;
Aparelho para ordenha mecânica,7;
Aparelho para produção, distribuição e conversão de energia elétrica,9;
Aparelho para pulverização de produto químico para uso agroindustrial,7;
Aparelho para remover objeto ou material radioativo,11;
Aparelho para tração [ginástica],28;
Aparelho para tratamento de casco de animal,10;
Aparelho para tratamento e purificação de água para uso industrial,11;
Aparelho projetor de filme,9;
Aparelho totalizador,9;
Aparelhos domésticos para vedar,9;
"Apatita [mineral hexagonal, fluorfosfato ou clorofosfato de cálcio, ou ambos emmistura, matéria-prima para a fabricação de adubo fosfatado],1";
Aperiódico [transformador de alta-frequência],9;
Aperta-cabo e aperta-fio [ferramenta],8;
Apito para guiar ou adestrar animal,9;
Apito ultrassônico,9;
Apito usado como instrumento musical,15;
Aplicador de cílio artificial,8;
Aplique [cabelo artificial],26;
Apoio de mão para pintor,16;
Apoio para braço [móvel],20;
Apoio para cardápio [móvel],20;
Apoio para livro [móvel],20;
Apoio para telefone [móvel],20;
Apoio tipo banqueta para a cabeça, não metálico,20;
Apontador para lápis de maquiagem,16;
Apostila para fim educacional,16;
Aquário [estrutura do tipo tanque],19;
Aquário para peixe [para interiores],21;
Aquecedor a gás de uso doméstico,11;
Aquecedor elétrico de ar ou de água para uso doméstico,11;
Aquecedor industrial,11;
"Aquecedores, autoclaves, agitadores, evaporadores e aparelhos para purificaçãoda água para utilização exclusiva em laboratórios,9";
"Aquecedores, autoclaves, evaporadores e aparelhos para purificação da águapara utilização doméstica ou comercial,11";
Ar condicionado e umidificador de ar central de uso industrial,11;
Araçá [fruto do araçazeiro, produto fresco],31;
Arado de tração animal e puxado por trator [parte de máquina agrícola],7;
Arado manual [de propulsão muscular],8;
Araruta,31;
Arbusto artificial,26;
Arbusto natural,31;
Arca,20;
Arcabuz [antiga arma de fogo portátil, espécie de bacamarte],13;
Arco de serra,8;
Arco metálico para estufas de plantas,6;
Arco para exercício,28;
Areia,19;
Areia monazítica para construção,19;
Argamassa de amianto,19;
"Argentita [mineral monométrico, sulfeto de prata, um dos minérios de prata maispreciosos e ricos],6";
"Argila ativada para uso na indústria alimentícia, para refino e absorção depigmento lipossolúvel,1";
Argila para construção,19;
Argila para estética,3;
Argola de borracha para vedação,17;
Argola de uso pessoal [bijuteria],14;
Argola ou elo de ligadura para uso cirúrgico,10;
Arma de estoque,8;
Arma para lançamento de míssil,13;
Armação de cadeira e poltrona,20;
Armação para bordado,20;
Armadilha para caça e pesca,28;
Armário bar,20;
Arminho [pele],18;
Arnica [erva para enchimento],22;
Aro de borracha para vedação,17;
Arquibancada,19;
Arquivo de mesa para microfilme,16;
Arranca-ponta [ferramenta],8;
Arrancador de fruto [ferramenta],8;
Arranjo de flor artificial,26;
Arranjo de flor natural,31;
Arrastão para pesca,22;
